"Variabile","Maschi","Femmine","Totale","Informazioni"
"Popolazione censita al 1° gennaio","4690","4942","9632","p"
"Nati vivi","38","41","79","p"
"Morti","47","48","95","p"
"Saldo naturale","-9","-7","-16","p"
"Immigrati da altro comune","66","76","142","p"
"Emigrati per altro comune","92","93","185","p"
"Saldo migratorio interno","-26","-17","-43","p"
"Immigrati dall'estero","30","20","50","p"
"Emigrati per l'estero","12","6","18","p"
"Saldo migratorio con l'estero","18","14","32","p"
"Unità in più/meno dovute a variazioni territoriali","0","0","0","p"
"Popolazione al 31 dicembre","4673","4932","9605","p"
"Iscritti per altri motivi (v)","12","8","20","p"
"Cancellati per altri motivi (v)","12","10","22","p"