"Età","Totale maschi","Totale femmine","Totale"
"0","41","41","82"
"1","42","41","83"
"2","36","37","73"
"3","42","33","75"
"4","44","50","94"
"5","49","34","83"
"6","58","50","108"
"7","42","39","81"
"8","73","52","125"
"9","43","42","85"
"10","65","51","116"
"11","42","46","88"
"12","47","43","90"
"13","43","51","94"
"14","40","48","88"
"15","46","37","83"
"16","36","41","77"
"17","52","53","105"
"18","50","57","107"
"19","37","54","91"
"20","46","50","96"
"21","56","65","121"
"22","60","43","103"
"23","67","57","124"
"24","60","51","111"
"25","58","53","111"
"26","68","42","110"
"27","54","63","117"
"28","59","48","107"
"29","48","46","94"
"30","56","64","120"
"31","52","65","117"
"32","57","48","105"
"33","62","48","110"
"34","62","68","130"
"35","56","67","123"
"36","63","67","130"
"37","71","74","145"
"38","66","58","124"
"39","65","46","111"
"40","47","56","103"
"41","68","51","119"
"42","71","69","140"
"43","70","43","113"
"44","64","63","127"
"45","64","58","122"
"46","64","74","138"
"47","66","67","133"
"48","64","64","128"
"49","54","68","122"
"50","83","76","159"
"51","59","87","146"
"52","62","70","132"
"53","63","68","131"
"54","68","60","128"
"55","68","83","151"
"56","58","66","124"
"57","64","81","145"
"58","60","65","125"
"59","82","62","144"
"60","74","73","147"
"61","66","68","134"
"62","58","77","135"
"63","55","74","129"
"64","69","70","139"
"65","56","64","120"
"66","57","69","126"
"67","63","54","117"
"68","64","59","123"
"69","43","66","109"
"70","51","54","105"
"71","55","47","102"
"72","54","82","136"
"73","46","49","95"
"74","52","44","96"
"75","52","56","108"
"76","48","41","89"
"77","27","43","70"
"78","37","46","83"
"79","32","30","62"
"80","26","49","75"
"81","21","39","60"
"82","32","38","70"
"83","32","33","65"
"84","15","40","55"
"85","18","44","62"
"86","17","31","48"
"87","16","26","42"
"88","15","17","32"
"89","6","26","32"
"90","14","11","25"
"91","11","15","26"
"92","4","18","22"
"93","3","17","20"
"94","4","15","19"
"95","2","5","7"
"96","1","7","8"
"97","2","0","2"
"98","0","2","2"
"99","2","4","6"
"100 e oltre","0","6","6"
"Totale","4713","4963","9676"