"Età","Maschi","Femmine","Totale"
"0","8","4","12"
"1","10","9","19"
"2","6","8","14"
"3","6","5","11"
"4","8","8","16"
"5","10","5","15"
"6","6","9","15"
"7","6","4","10"
"8","5","4","9"
"9","7","5","12"
"10","6","2","8"
"11","3","4","7"
"12","1","7","8"
"13","5","5","10"
"14","1","4","5"
"15","5","4","9"
"16","3","4","7"
"17","5","0","5"
"18","7","1","8"
"19","3","4","7"
"20","6","2","8"
"21","7","5","12"
"22","5","7","12"
"23","5","4","9"
"24","3","4","7"
"25","4","9","13"
"26","6","4","10"
"27","6","6","12"
"28","8","6","14"
"29","11","8","19"
"30","7","5","12"
"31","9","8","17"
"32","12","10","22"
"33","7","11","18"
"34","10","9","19"
"35","11","9","20"
"36","9","4","13"
"37","9","5","14"
"38","15","10","25"
"39","11","5","16"
"40","11","4","15"
"41","9","3","12"
"42","6","5","11"
"43","11","8","19"
"44","10","3","13"
"45","9","6","15"
"46","8","3","11"
"47","4","3","7"
"48","3","6","9"
"49","6","3","9"
"50","2","4","6"
"51","6","6","12"
"52","3","4","7"
"53","2","2","4"
"54","7","5","12"
"55","2","1","3"
"56","3","3","6"
"57","4","1","5"
"58","2","5","7"
"59","1","2","3"
"60","3","3","6"
"61","1","3","4"
"62","3","3","6"
"63","1","3","4"
"64","2","1","3"
"65","1","3","4"
"66","2","2","4"
"67","0","1","1"
"68","2","2","4"
"69","1","0","1"
"70","1","1","2"
"71","0","0","0"
"72","0","1","1"
"73","1","0","1"
"74","0","0","0"
"75","0","0","0"
"76","0","1","1"
"77","1","1","2"
"78","0","0","0"
"79","0","0","0"
"80","0","0","0"
"81","0","1","1"
"82","0","0","0"
"83","0","0","0"
"84","0","0","0"
"85","0","0","0"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","1","1"
"93","0","0","0"
"94","0","0","0"
"95","0","1","1"
"96","0","0","0"
"97","0","0","0"
"98","0","0","0"
"99","0","0","0"
"100 e oltre","0","0","0"
"Totale","400","332","732"