"Età","Maschi","Femmine","Totale"
"0","7","6","13"
"1","9","4","13"
"2","10","12","22"
"3","6","7","13"
"4","4","5","9"
"5","8","7","15"
"6","11","7","18"
"7","5","8","13"
"8","5","4","9"
"9","4","4","8"
"10","6","5","11"
"11","5","2","7"
"12","2","4","6"
"13","1","7","8"
"14","6","3","9"
"15","1","4","5"
"16","4","5","9"
"17","3","3","6"
"18","7","0","7"
"19","7","1","8"
"20","4","5","9"
"21","6","4","10"
"22","9","5","14"
"23","5","5","10"
"24","6","4","10"
"25","2","6","8"
"26","3","11","14"
"27","5","6","11"
"28","6","6","12"
"29","9","5","14"
"30","11","9","20"
"31","8","5","13"
"32","11","6","17"
"33","11","12","23"
"34","6","10","16"
"35","12","7","19"
"36","10","8","18"
"37","9","4","13"
"38","9","5","14"
"39","13","8","21"
"40","9","4","13"
"41","13","4","17"
"42","9","3","12"
"43","7","6","13"
"44","11","8","19"
"45","7","5","12"
"46","8","5","13"
"47","8","3","11"
"48","4","3","7"
"49","2","6","8"
"50","7","2","9"
"51","2","4","6"
"52","6","6","12"
"53","3","3","6"
"54","1","1","2"
"55","8","4","12"
"56","3","1","4"
"57","3","3","6"
"58","3","1","4"
"59","2","4","6"
"60","1","2","3"
"61","3","3","6"
"62","1","2","3"
"63","1","3","4"
"64","1","2","3"
"65","3","1","4"
"66","1","3","4"
"67","2","2","4"
"68","0","1","1"
"69","2","2","4"
"70","1","0","1"
"71","1","1","2"
"72","0","0","0"
"73","0","1","1"
"74","2","0","2"
"75","0","0","0"
"76","0","0","0"
"77","0","1","1"
"78","1","1","2"
"79","0","0","0"
"80","0","0","0"
"81","0","0","0"
"82","0","1","1"
"83","0","0","0"
"84","0","0","0"
"85","0","0","0"
"86","0","0","0"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","1","1"
"94","0","0","0"
"95","0","0","0"
"96","0","1","1"
"97","0","0","0"
"98","0","0","0"
"99","0","0","0"
"100 e oltre","0","0","0"
"Totale","402","333","735"