"Età","Maschi","Femmine","Totale"
"0","5","3","8"
"1","3","3","6"
"2","9","6","15"
"3","2","4","6"
"4","5","3","8"
"5","7","1","8"
"6","9","11","20"
"7","7","5","12"
"8","3","7","10"
"9","10","4","14"
"10","7","10","17"
"11","5","7","12"
"12","4","5","9"
"13","5","4","9"
"14","5","6","11"
"15","8","2","10"
"16","2","4","6"
"17","2","6","8"
"18","5","4","9"
"19","1","5","6"
"20","3","7","10"
"21","4","3","7"
"22","7","0","7"
"23","9","1","10"
"24","6","6","12"
"25","7","3","10"
"26","10","3","13"
"27","7","2","9"
"28","4","3","7"
"29","6","5","11"
"30","2","9","11"
"31","5","7","12"
"32","4","3","7"
"33","9","11","20"
"34","11","2","13"
"35","9","7","16"
"36","14","5","19"
"37","7","7","14"
"38","6","8","14"
"39","11","8","19"
"40","8","9","17"
"41","8","6","14"
"42","9","6","15"
"43","12","7","19"
"44","9","5","14"
"45","8","2","10"
"46","7","3","10"
"47","4","6","10"
"48","5","7","12"
"49","5","4","9"
"50","7","5","12"
"51","4","3","7"
"52","8","1","9"
"53","2","6","8"
"54","5","2","7"
"55","1","3","4"
"56","8","4","12"
"57","3","2","5"
"58","1","3","4"
"59","6","4","10"
"60","1","2","3"
"61","3","2","5"
"62","3","1","4"
"63","1","4","5"
"64","2","1","3"
"65","3","3","6"
"66","2","1","3"
"67","0","4","4"
"68","2","0","2"
"69","3","2","5"
"70","1","2","3"
"71","1","0","1"
"72","2","1","3"
"73","0","0","0"
"74","1","0","1"
"75","0","1","1"
"76","1","0","1"
"77","0","2","2"
"78","0","0","0"
"79","0","0","0"
"80","0","0","0"
"81","0","1","1"
"82","0","0","0"
"83","0","0","0"
"84","0","0","0"
"85","0","0","0"
"86","0","1","1"
"87","0","0","0"
"88","0","0","0"
"89","0","0","0"
"90","0","0","0"
"91","0","0","0"
"92","0","0","0"
"93","0","0","0"
"94","0","0","0"
"95","0","0","0"
"96","0","0","0"
"97","0","0","0"
"98","0","0","0"
"99","0","0","0"
"100 e oltre","0","0","0"
"Totale","391","316","707"